# RSS Collimator-Camera Transmission 20130408
#
# Values supplied by Ken Nordsieck on 8 April 2013;
# see http://www.sal.wisc.edu/~khn/salt/Outgoing/Efficiency%20Curves/collcam_20130408.txt
#
# Wave(Ang) Transmission
3050 0.0311
3100 0.0717
3150 0.1317
3200 0.1917
3250 0.2189
3300 0.2512
3350 0.2580
3400 0.2571
3450 0.2572
3500 0.2674
3550 0.2778
3600 0.2851
3650 0.3031
3700 0.3213
3750 0.3512
3800 0.3876
3850 0.4073
3900 0.4212
3950 0.4179
4000 0.4320
4050 0.4224
4100 0.4186
4150 0.4305
4200 0.4235
4250 0.4136
4300 0.4036
4350 0.3955
4400 0.3912
4450 0.3866
4500 0.3913
4550 0.3935
4600 0.3939
4650 0.3933
4700 0.3890
4750 0.3820
4800 0.3722
4850 0.3600
4900 0.3610
4950 0.3549
5000 0.3526
5050 0.3527
5100 0.3542
5150 0.3571
5200 0.3653
5250 0.3762
5300 0.3818
5350 0.3862
5400 0.3924
5450 0.3968
5500 0.3993
5550 0.3996
5600 0.3980
5650 0.3977
5700 0.3954
5750 0.3940
5800 0.3939
5850 0.3961
5900 0.3935
5950 0.3968
6000 0.4049
6050 0.4091
6100 0.4149
6150 0.4191
6200 0.4237
6250 0.4257
6300 0.4283
6350 0.4350
6400 0.4412
6450 0.4416
6500 0.4427
6550 0.4426
6650 0.4498
6700 0.4471
6750 0.4461
6800 0.4458
6850 0.4338
6900 0.4372
6950 0.4391
7000 0.4405
7050 0.4435
7100 0.4476
7150 0.4424
7200 0.4349
7250 0.4360
7300 0.4452
7350 0.4587
7400 0.4651
7450 0.4691
7500 0.4708
7550 0.4707
7700 0.4736
7750 0.4790
7800 0.4813
7850 0.4813
7900 0.4807
7950 0.4843
8000 0.4835
8050 0.4861
8100 0.4852
8150 0.4679
8200 0.4695
8250 0.4721
8300 0.4729
8350 0.4811
8400 0.4834
8450 0.4847
8500 0.4855
8550 0.4812
8600 0.4839
8650 0.4761
8700 0.4793
8750 0.4724
8800 0.4725
8850 0.4783
8900 0.4828
8950 0.4866
9000 0.4913
10000 0.4913
