#SALTICAM filter transmission data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled from spreadsheets provided by David Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled by Amanda Gulbis
#,SLOAN,,,,,STROEMGREN,,,,,,,,,Bessell,,,,,,,Hbeta wide (Custom Scientific),,UV,,,H-alpha,
Wavelength(nm),SDSS_up,SDSS_gp,SDSS_rp,SDSS_ip,SDSS_zp,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,Hbeta_wide,SRE_1,SRE_2,SRE_3,SRE_4,CLR-S1,U-S1,B-S1,V-S1,R-S1,I-S1,ND,Wavelength,Hbeta_narrow,Wavelength,340-35,380-40,Wavelength,Halpha-S1
200,0.001,-0.0002,-0.0011,0.0002,-0.0002,-0.00112, , , , , , , , , , , , , , , ,475,5.01E-04,300,4.12E-04,4.43E-04,300,-0.000162344
200.5,0.0001,0.0005,0.0006,-0.0003,0.0016,-0.00286, , , , , , , , , , , , , , , ,475.1,2.67E-04,301,6.84E-04,3.87E-04,300.2,8.28E-05
201,0.0008,0,0.0001,0.0004,-0.0008,0.00437, , , , , , , , , , , , , , , ,475.2,1.39E-04,302,9.82E-04,4.13E-04,300.4,0.000111002
201.5,-0.0006,-0.0003,0.0009,0.0005,-0.0012,0.00209, , , , , , , , , , , , , , , ,475.3,6.45E-05,303,1.29E-03,2.93E-04,300.6,3.62E-05
202,-0.0016,-0.0008,-0.0007,0.0006,-0.0009,-0.00773, , , , , , , , , , , , , , , ,475.4,4.20E-04,304,1.59E-03,4.03E-04,300.8,0.000175547
202.5,-0.0005,-0.0002,0.0001,-0.0013,0.0007,-0.00578, , , , , , , , , , , , , , , ,475.5,4.56E-04,305,2.27E-03,7.68E-04,301,3.21E-05
203,0.0001,-0.0001,-0.0004,-0.0002,0.0014,-0.00759, , , , , , , , , , , , , , , ,475.6,4.91E-04,306,3.18E-03,2.79E-03,301.2,0.000150712
203.5,0.0002,0.0007,-0.0004,-0.0012,-0.0003,-0.00253, , , , , , , , , , , , , , , ,475.7,4.54E-04,307,4.55E-03,5.36E-03,301.4,0.000137626
204,-0.0012,-0.0003,-0.0001,0.0007,-0.0007,0.00264, , , , , , , , , , , , , , , ,475.8,2.46E-04,308,6.80E-03,5.41E-03,301.6,5.76E-05
204.5,0,-0.0013,0.0005,-0.0015,-0.0008,0.01955, , , , , , , , , , , , , , , ,475.9,5.06E-04,309,9.98E-03,6.66E-03,301.8,-2.07E-05
205,-0.001,0.0004,-0.0011,0.0005,-0.0013,0.02164, , , , , , , , , , , , , , , ,476,5.70E-04,310,1.42E-02,9.88E-03,302,6.90E-07
205.5,0.0005,0.0001,-0.0004,0.0003,0.0002,0.01256, , , , , , , , , , , , , , , ,476.1,6.32E-04,311,2.13E-02,2.48E-02,302.2,6.79E-05
206,-0.0001,-0.0004,-0.0001,-0.0015,-0.0003,0.00899, , , , , , , , , , , , , , , ,476.2,8.83E-04,312,3.28E-02,9.23E-02,302.4,0.000105364
206.5,0.0004,-0.0005,0.0002,0.0006,0.0003,0.00423, , , , , , , , , , , , , , , ,476.3,6.68E-04,313,5.06E-02,1.07E-01,302.6,0.000130528
207,-0.0005,0.0007,-0.0007,-0.0008,0,-0.00253, , , , , , , , , , , , , , , ,476.4,7.58E-04,314,8.44E-02,3.52E-02,302.8,0.000112931
207.5,-0.0002,-0.0009,-0.0011,-0.0008,0.0009,-0.01291, , , , , , , , , , , , , , , ,476.5,9.23E-04,315,1.37E-01,1.40E-02,303,1.43E-05
208,-0.0003,-0.0011,-0.0012,0.0001,-0.001,-0.00534, , , , , , , , , , , , , , , ,476.6,6.59E-04,316,2.27E-01,7.37E-03,303.2,0.000148074
208.5,0.0007,-0.0003,0.0007,0.0007,0.0012,-0.00248, , , , , , , , , , , , , , , ,476.7,6.29E-04,317,3.79E-01,4.95E-03,303.4,9.46E-05
209,-0.0009,-0.0014,0.0006,-0.0008,0.0001,-0.00806, , , , , , , , , , , , , , , ,476.8,5.57E-04,318,6.53E-01,3.78E-03,303.6,0.000180839
209.5,-0.0002,-0.0001,0.0007,0,-0.001,-0.00213, , , , , , , , , , , , , , , ,476.9,5.09E-04,319,1.19E+00,2.93E-03,303.8,6.29E-05
