# HRS header keywords and database columns

# First column is for FITS headers
# Second column is for table field

AMPSEC        amplifierSection
AMPTEM        amplifierTemperature
BIASSEC       biasSection
CCDNAMPS      numberOfAmplifiers
CCDSEC        ccdSection
CCDSUM        ccdSummation
CCDTEMP       ccdTemperature
CCDTYPE       ccdType
DATASEC       dataSection
# DATE-OBS      dateOfObservation
DETMODE       detectorMode
DETNAM        detectorName
DETSEC        detectorSection
DETSER        detectorSerialNumber
DETSIZE       detectorSize
DETSWV        detectorSoftwareVersion
EXP-MEAN      exposureMean
EXP-MID       exposureMidPoint
EXP-TOT       exposureTotal
EXPTIME       exposureTime
FIFCEN        fifCentering
FIFCOFF       fifCenteringOffset
FIFPOFF       fifPortOffset
FIFPORT       fifPort
FIFSEP        fifSeparation
FOC-BMIR      focusBlueArm
FOC-RMIR      focusRedArm
#  GAIN          gain
GAINSET       gainSet
I2STAGE       iodenStagePosition
INSTRUME      instrumentName
LST-OBS       lstObservation
NAMPS         numberOfAmplifiersUsed
NCCDS         numberOfCcdsInDetector
NODCOUNT      nodCount
NODPER        nodPeriod
NODSHUFF      nodShuffle
OBSMODE       observationMode
OBSTYPE       observationType
PRE-DEW       pressureDewar
PRE-VAC       pressureVacuum
PRESCAN       prescan
ROSPEED       ccdReadoutSpeed
TEM-AIR       airTemperature
TEM-BCAM      blueCameraTemperature
TEM-COLL      collimatorTemperature
TEM-ECH       echelle
TEM-IOD       iodineTemperature
TEM-OB        opticalBenchTemperature
TEM-RCAM      redCameraTemperature
TEM-RMIR      redMirrorTemperature
TEM-VAC       vacuumTemperature
# TIME-OB       startOfObservationTime
# TIMESYS       systemTime
VERFITS       fitsHeaderVersion
