# HRS header keywords and database columns

# First column is for FITS headers
# Second column is for table fields

AMPSEC         amplifierSection
AMPTEM         amplifierTemperature
ATM1_1         amplifierReadoutX
ATM1_2         amplifierReadoutY
BIASSEC        biasSection
BSCALE         beamSplitterScale
BZERO          beamSplitterZero
CAMFOCUS       detectorFocusPosition
CCDNAMPS       numberOfAmplifiers
CCDSEC         ccdSection
CCDSUM         ccdSummation
CCDTEM         ccdTemperature
CCDTYPE        ccdType
CD1_1          transformationMatrix11
CD1_1A         transformationMatrix11A
CD1_2          transformationMatrix12
CD1_2A         transformationMatrix12A
CD2_1          transformationMatrix21
CD2_1A         transformationMatrix21A
CD2_2          transformationMatrix22
CD2_2A         transformationMatrix22A
CENTEM         coldEndTemperature
CRPIX1         pixelCoordinatePointX1
CRPIX1A        pixelCoordinatePointX1A
CRPIX2         pixelCoordinatePointX2
CRPIX2A        pixelCoordinatePointX2A
CRVAL1         rightAsertionPoint1
CRVAL1A        spatialCoordinatePoint1A
CRVAL2         declanationPoint2
CRVAL2A        spacialCoordinatePoint2A
CTYPE1         gnomicProjection1
CTYPE1A        cartesianProjection1A
CTYPE2         gnomicProjection2
CTYPE2A        cartesianProjection2A
CUNIT1         anglesDegreesAlways1
CUNIT2         anglesDegreesAlways2
DATASEC        dataSection
# DATE-OBS       dateOfObservation
DETMODE        detectorMode
DETSEC         detectorSection
DETSIZE        detectorSize
DETSWV         detectorSoftwareVersion
DEWTEM         coolerBoxTemperature
EXPTIME        exposureTime
FILPOS         filterPosition
FILTER         filterName
# GAIN           gain
GAIN1          gain1
GAINSET        gainSet
IMAGEID        imageId
# INSTRUME       instrumentName
# JD             julianDate
LST-OBS        lstObservation
NCCDS          numberOfCcds
NEXTEND        numberOfExtensions
NWINDOW        numberOfWindows
OBJECT         objectName
OBSMODE        observationMode
OBSTYPE        observationType
PIXSCALE       pixelScale
PUPEND         pupilEnd
RDNOISE        noiseReadout
ROSPEED        ccdReadoutSpeed
SATURATE       pixelSaturation
# TIME-OBS       startOfObservationTime
# TIMESYS        systemTime
VERFITS        fitsHeaderVersion
WCSNAMEA       spatialCoordinate
XTALK          crossTalk
