# First column is for FITS headers
# Second column is for table fields

BSCALE   	bscale  
HEAD		headModel     
ACMODE   	acquisitionMode
NUMACC   	numAcc                           
NUMKIN  	numKin                                 
READMODE 	readMode                              
IMGRECT  	imageRect                               
HBIN     	hbin                             
VBIN     	vbin                               
SUBRECT  	subRect                               
DATATYPE 	dataType                              
XTYPE    	xType                               
XUNIT    	xUnit                              
RAYWAVE  	rayWave                            
CALBWVNM 	calBwvnm                              
TRIGGER  	triggerMode                               
CALIB    	calibration                             
DLLVER   	dllVersion                              
EXPOSURE 	exposure                              
TEMP     	temperature                                    
READTIME 	readTime                             
OPERATN  	operating                               
GAIN     	gain                                  
EMREALGN 	emRealGain                              
VCLKAMP  	verticalClockAmplitude                    
VSHIFT   	verticalShitSpeed                           
OUTPTAMP 	outputAmp                               
PREAMP   	preAmplifierGain                            
SERNO    	serialNumber                                 
UNSTTEMP 	unstablizedTemperature                      
BLCLAMP  	baselineClamp                             
PRECAN   	prescans                              
FLIPX    	flipX                           
FLIPY    	flipY                             
CNTCVTMD 	countConvertMode
DTNWLGTH 	detectionWavelength                          
SNTVTY   	sensitivity                                
SPSNFLTR 	spuriousNoiseFilterMode                    
THRSHLD  	threshold                               
PCNTENLD 	photonCountingEnabled         
NSETHSLD 	numberOfPhotonCountingThreshold 
PTNTHLD1  	photonCountingThreshold1                   
PTNTHLD2 	photonCountingThreshold2                   
PTNTHLD3 	photonCountingThreshold3                   
PTNTHLD4 	photonCountingThreshold4                   
AVGFTRMD 	averageFilterMode                         
AVGFCTR  	averageFactor                              
FRMCNT   	frameCount                              
PORTMODE 	portReadMode                               
LSHEIGHT 	lsHeight
LSSPEED  	lsSpeed                               
LSALTDIR 	lsAlterDirection                 
LSCTRL   	lsControl
LSDIR    	lsDirection                             
FKSMODE  	fksMode                    
FKTMODE  	fktMode            
FRAME    	frame
ESHTMODE 	eshtMode                      
AIRMASS  	airmass                           
DATE-OBS 	dateObserved 
DOMEPOS  	domePosition                            
ENVTEM   	envTemp
FILTERA  	filterA   
FILTERB 	filterB
GPS-INT 	gpsInt
GPSSTART 	gpsStart
HA       	hourAngle                       
HUMIDIT  	humidity 
INSTANGL 	instrumentAngle                         
INSTRUME 	instrumentName                      
INSTSWV  	instrumentSoftware                      
OBJDEC   	objectDeclination 
OBJECT   	objectName                    
OBJEPOCH 	objectEpoch
OBJEQUIN 	objectEquinox                      
OBJRA    	objectRightAscension                      
OBSERVER 	observerName                 
OBSTYPE  	objectType                              
POSA     	positionA
POSB     	positionB                   
RELSKYT  	relativeSkyTemperature
SEEING   	seeing                              
SERIALNO 	serialNumber                  
TELDEC   	telescopeDeclination                      
TELESCOP 	telescopeName                             
TELFOCUS 	telescopeFocus                          
TELRA    	telescopeRightAscension                  
TMTDEW   	tmtDewpoint 
WHEELA   	wheelA                              
WHEELB   	wheelB                              
WIND     	windSpeed                         
ZD       	zenithDistance                 
