# First column is for FITS headers
# Second column is for table fields

BZERO		bzero
BSCALE   	bscale  
UT-START	universalTimeStart     
LC-START   	localTimeStart
DATE-OBS   	dateObserved                           
HJD-OBS  	heliocentricJulianDate                                 
EXPOSURE 	exposure                              
HBIN  	        horizontalBin                               
VBIN     	verticalBin                             
GAINVAL     	gainValue                               
NOISEADU  	noiseAdu                               
NOISEEL 	noiseElectrons                              
TELRA    	telescopeRightAscension                               
TELDEC    	telescopeDeclination                              
AIRMASS  	airmass                            
ZD 		zenithDistance                              
HA  		hourAngle                               
TELFOCUS    	telescopeFocus                             
INSTANGL   	instrumentAngle                              
DOMEPOS 	domePosition                              
TMTDEW     	tmtDewpoint                                    
HUMIDIT 	humidity                             
RELSKYT  	relativeSkyTemperature                               
WIND     	wind                                  
ENVTEM 		envTemp                              
SEEING  	seeing                    
OBSERVER   	observer                           
RUN-NO 		runNumber                               
GRATING   	grating                            
GR-ANGLE    	gratingAngle                                 
SLITPOS 	slitPosition                      
SLITWID  	slitWidth                             
FILTER   	filter                              
FRAME    	frame                           
OBJECT    	object                             
EXPTIME 	exposureTime
BINNING 	binning                          
CCDSUM   	ccdSum                                
SGAIN 		sGain                    
SRDNOISE  	srdNoise                               
CCDTEMP 	ccdTemperature         
CF-TEMP 	coldFingerTemperature 
ARC-LAMP  	arcLamp                   
FOCUSPOS 	focusPosition                   
HARTPOS 	hartmannShutterPosition                   
HARTSEQ 	hartmannSequence                   
TARG-RA 	targetRightAscension                         
TARG-DEC  	targetDeclination                                              
