# First column is for FITS headers
# Second column is for table field

AMPSEC      				amplifierSection
AMPTEM      				amplifierTemperature
AR-ANGLE    				articulationAngle
AR-PITCH    				articulationPitch
AR-ROLL     				articulationRoll
AR-STA      				articulationStation
AR-STA-S    				articulationStationEncoder
AR-STATE    				articulationMachineState
ATM1_1      				amplifierReadoutX
ATM2_2      				amplifierReadoutY
BIASSEC     				biasSection
BS-STATE    				beamSplitterMachineState
BSCALE      				beamSplitterScale
BZERO       				beamSplitterZero
CAMANG      				commandedArticulationStation
CAMFOCUS    				detectorFocusPosition
CAMTEM      				cameraTemperature
CCDNAMPS    				numberOfAmplifiers
CCDSEC      				ccdSection
CCDSUM      				ccdSummation
CCDTEM      				ccdTemperature
CCDTYPE     				ccdType
CD1_1       				transformationMatrix11
CD1_1A      				transformationMatrix11A
CD1_2       				transformationMatrix12
CD1_2A      				transformationMatrix12A
CD2_1       				transformationMatrix21
CD2_1A      				transformationMatrix21A
CD2_2       				transformationMatrix22
CD2_2A      				transformationMatrix22A
CENTEM      				coldEndTemperature
CF-STATE    				configMachineState
COLTEM      				collimatorTemperature
CRPIX1      				pixelCoordinatePointX1
CRPIX1A     				pixelCoordinatePointX1A
CRPIX2      				pixelCoordinatePointX2
CRPIX2A     				pixelCoordinatePointX2A
CRVAL1      				rightAsertionPoint1
CRVAL1A     				spatialCoordinatePoint1A
CRVAL2      				declanationPoint2
CRVAL2A     				spacialCoordinatePoint2A
CTYPE1      				gnomicProjection1
CTYPE1A     				cartesianProjection1A
CTYPE2      				gnomicProjection2
CTYPE2A     				cartesianProjection2A
DATASEC     				dataSection
DATE-OBS    				dateOfObservation
DETMODE     				detectorMode
DETSEC      				detectorSection
DETSIZE     				detectorSize
DETSWV      				detectorSoftwareVersion
DEWTEM      				coolerBoxTemperature
DISPAXIS    				dispersionAxis
ET-STATE    				etalonMachineState
ET1A        				etalon1A
ET1B        				etalon1B
ET1F        				etalon1F
ET1MODE     				etalon1Mode
ET1WAVE0    				etalon1Wavelength
ET1X        				etalon1X
ET1Y        				etalon1Y
ET1Z        				etalon1Z
ET2A        				etalon2A
ET2B        				etalon2B
ET2F        				etalon2F
ET2MODE     				etalon2Mode
ET2WAVE0    				etalon2Wavelength
ET2X        				etalon2X
ET2Y        				etalon2Y
ET2Z        				etalon2Z
EXPTIME     				exposureTime
FI-STA      				filterStation
FI-STATE    				filterMachineState
FILPOS      				filterPosition
FILTER      				filterBarcode
FM-STA-S    				filterStationSteps
FM-STA-V    				filterStationVolts
FM-STEPS    				filterMagazineSteps
FM-VOLTS    				filterMagazineVolts
FO-POS      				focusPosition
FO-POS-S    				focusPositionSteps
FO-POS-V    				focusPositionVolts
FO-STATE    				focusMachineState
FO-VOLTS    				focusVolts
FOCUS       				focusSteps
GAIN        				gain
GAIN1       				gain1
GAINSET     				gainSet
GM-STEPS    				gratingMagazineSteps
GM-VOLTS    				gratingMagazineVolts
GR-ANGLE    				gratingRotationAngle
GR-STA      				gratingStation
GR-STA-S    				gratingStationSteps
GR-STA-V    				gratingStationVolts
GR-STATE    				gratingMachineState
GR-STEPS    				gratingRotationAngleSteps
GRATING     				grating
GRTILT      				gratingAngle
HW-STEPS    				halfWaveSteps
HWP-ANG     				halfWaveAngle
HWP-CMD     				halfWaveStation
HWP-STA     				halfWaveStationEncoder
IMAGEID     				imageId
INSTRUME    				instrumentName
JD          				julianDate
LST-OBS     				lstObservation
MASKID      				slitmaskBarcode
MASKTYP     				slitmaskType
NCCDS       				numberOfCcds
NEXTEND     				numberOfExtensions
NWINDOW     				numberOfWindows
OBJECT      				objectName
OBSMODE     				observationMode
OBSTYPE     				observationType
PCS-VER     				pfsiControlSystemVersion
PIXSCALE    				pixelScale
POLCONF     				polarizationConfig
PROC        				pfsiProcedure
PUPEND      				pupilEnd
QW-STEPS    				quaterWaveSteps
QWP-ANG     				quaterWaveAngle
QWP-CMD     				quaterWaveStation
QWP-STA     				quaterWaveStationEncoder
RDNOISE     				noiseReadout
ROSPEED     				ccdReadoutSpeed
SATURATE    				pixelSaturation
SH-STATE    				shutterMachineState
SM-STA      				slitmaskStation
SM-STA-S    				slitmaskStationSteps
SM-STA-V    				slitmaskStationVolts
SM-STATE    				slitmasMachineState
SM-STEPS    				slitmaskMagazineSteps
SM-VOLTS    				slitmaskVolts
TIME-OBS    				startOfObservationTime
TIMESYS     				systemTime
VERFITS     				fitsHeaderVersion
WCSNAMEA    				spatialCoordinate
WP-STATE    				waveplateMachineState
WPPATERN    				polarimetryProcedurePattern
XTALK       				crossTalk
